"","Name","Firm","Price","Volume","Count","unit_price","Year"
"424","那格列奈片","江苏德源药业股份有限公司",16.78,"120mg",10,1.678,2015
"425","那格列奈片","上海朝晖药业有限公司",29.89,"30mg",60,0.498166666666667,2015
"426","那格列奈片","天方药业有限公司",39.1,"120mg",24,1.62916666666667,2015
"427","那格列奈片","天方药业有限公司",20,"30mg",36,0.555555555555556,2015
"428","那格列奈片","扬子江药业集团南京海陵药业有限公司",15.13,"30mg",27,0.56037037037037,2015
"429","那格列奈片","正和制药股份有限公司（台湾）",19.13,"120mg",12,1.59416666666667,2015
"430","盐酸帕罗西汀片","北京万生药业有限责任公司",48.6,"20mg",14,3.47142857142857,2015
"431","盐酸帕罗西汀片","浙江华海药业股份有限公司",66.78,"20mg",14,4.77,2015
"432","注射用帕瑞昔布钠","Pharmacia and Upjohn Company（辉瑞制药有限公司进口分装）",121.74,"40mg",1,121.74,2015
"433","泮托拉唑钠肠溶片","辰欣药业股份有限公司",24.88,"40mg",7,3.55428571428571,2015
"434","泮托拉唑钠肠溶片","辰欣药业股份有限公司",35.09,"40mg",10,3.509,2015
"435","泮托拉唑钠肠溶片","湖北广济药业股份有限公司",41.9,"40mg",14,2.99285714285714,2015
"436","泮托拉唑钠肠溶片","湖北广济药业股份有限公司",24.43,"40mg",8,3.05375,2015
"437","泮托拉唑钠肠溶片","湖北广济药业股份有限公司",21.48,"40mg",7,3.06857142857143,2015
"438","泮托拉唑钠肠溶片","湖北济安堂药业有限公司",40.81,"40mg",14,2.915,2015
"439","泮托拉唑钠肠溶片","湖南华纳大药厂有限公司",26.68,"40mg",7,3.81142857142857,2015
"440","泮托拉唑钠肠溶片","湖南华纳大药厂有限公司",52.03,"40mg",14,3.71642857142857,2015
"441","泮托拉唑钠肠溶片","湖南九典制药股份有限公司",39,"20mg",14,2.78571428571429,2015
"442","泮托拉唑钠肠溶片","湖南九典制药股份有限公司",65.55,"20mg",24,2.73125,2015
"443","泮托拉唑钠肠溶片","济南利民制药有限责任公司",20.93,"40mg",7,2.99,2015
"444","泮托拉唑钠肠溶片","济南利民制药有限责任公司",40.81,"40mg",14,2.915,2015
"445","泮托拉唑钠肠溶片","江苏黄河药业股份有限公司",20.93,"40mg",7,2.99,2015
"446","泮托拉唑钠肠溶片","锦州九泰药业有限责任公司",23.28,"40mg",7,3.32571428571429,2015
"447","泮托拉唑钠肠溶片","锦州九泰药业有限责任公司",45.39,"40mg",14,3.24214285714286,2015
"448","泮托拉唑钠肠溶片","辽宁诺维诺制药股份有限公司",20,"20mg",7,2.85714285714286,2015
