Name,Firm,Price,Volume,Count
苯磺酸氨氯地平片,山东方明药业集团股份有限公司,13.57,5mg,14
苯磺酸氨氯地平片,山东方明药业集团股份有限公司,19.13,5mg,20
苯磺酸氨氯地平片,山东方明药业集团股份有限公司,26.45,5mg,28
苯磺酸氨氯地平片,山东凤凰制药股份有限公司,15.91,10mg,7
苯磺酸氨氯地平片,山东凤凰制药股份有限公司,22.43,10mg,10
苯磺酸氨氯地平片,山西康宝生物制品股份有限公司,6.96,5mg,7
苯磺酸氨氯地平片,山西康宝生物制品股份有限公司,13.57,5mg,14
苯磺酸氨氯地平片,上海迪  诺生物医药有限公司,6.81,2.5mg,14
苯磺酸氨氯地平片,上海迪  诺生物医药有限公司,11.58,5mg,14
苯磺酸氨氯地平片,上海迪  诺生物医药有限公司,22.57,5mg,28
苯磺酸氨氯地平片,沈阳管城制药有限责任公司,22.59,5mg,21
苯磺酸氨氯地平片,沈阳管城制药有限责任公司,44.06,5mg,42
苯磺酸氨氯地平片,沈阳圣元药业有限公司,31.75,5mg,56
苯磺酸氨氯地平片,沈阳圣元药业有限公司,16.28,5mg,28
苯磺酸氨氯地平片,苏州东瑞制药有限公司,6.96,5mg,7
苯磺酸氨氯地平片,苏州东瑞制药有限公司,13.6,5mg,14
苯磺酸氨氯地平片,苏州东瑞制药有限公司,22.35,10mg,7
苯磺酸氨氯地平片,苏州俞氏药业有限公司,8.35,5mg,14
苯磺酸氨氯地平片,苏州俞氏药业有限公司,11.77,5mg,20
苯磺酸氨氯地平片,武汉东信医药科技有限责任公司,8.35,5mg,14
苯磺酸氨氯地平片,西安汉丰药业有限责任公司,8.35,5mg,14
苯磺酸氨氯地平片,浙江京新药业股份有限公司,4.87,5mg,7
苯磺酸氨氯地平片,浙江京新药业股份有限公司,9.5,5mg,14
马来酸氨氯地平片,东北制药集团沈阳第一制药有限公司,19,5mg,14
马来酸氨氯地平片,东北制药集团沈阳第一制药有限公司,45.94,5mg,35
马来酸氨氯地平片,江苏联环药业股份有限公司,8.2,5mg,12
马来酸氨氯地平片,上海朝晖药业有限公司,15.25,5mg,10
马来酸氨氯地平片,上海朝晖药业有限公司,43.96,5mg,30
马来酸氨氯地平片,先声药业有限公司,9.74,5mg,10
氨碘肽注射液,杭州国光药业有限公司,32.53,2ml,1
盐酸氨溴索氯化钠注射液,江苏豪森药业股份有限公司,10.11,30mg,1
盐酸氨溴索葡萄糖注射液,安徽国森药业有限公司,5.79,30mg,1
盐酸氨溴索葡萄糖注射液,安徽国森药业有限公司,4.29,15mg,1
盐酸氨溴索葡萄糖注射液,安徽双鹤药业有限责任公司,6.38,15mg,1
盐酸氨溴索葡萄糖注射液,安徽双鹤药业有限责任公司,8.96,30mg,1
盐酸氨溴索葡萄糖注射液,哈尔滨三联药业股份有限公司,5.79,30mg,1
盐酸氨溴索葡萄糖注射液,黑龙江中桂制药有限公司,10.17,30mg,1
盐酸氨溴索葡萄糖注射液,青岛金峰制药有限公司,9.04,30mg,1
盐酸氨溴索葡萄糖注射液,石家庄四药有限公司,13.55,30mg,1
盐酸氨溴索葡萄糖注射液,石家庄四药有限公司,9.47,15mg,1
盐酸氨溴索葡萄糖注射液,石家庄四药有限公司,10.05,30mg,1
盐酸氨溴索葡萄糖注射液,浙江莎普爱思药业股份有限公司,7.82,30mg,1
盐酸氨溴索注射液,成都百裕科技制药有限公司,5.9,30mg,1
盐酸氨溴索注射液,成都百裕科技制药有限公司,3.47,15mg,1
盐酸氨溴索注射液,成都天台山制药有限公司,5.72,15mg,1
盐酸氨溴索注射液,成都天台山制药有限公司,9.72,30mg,1
盐酸氨溴索注射液,国药集团国瑞药业有限公司,5.47,15mg,1
盐酸氨溴索注射液,河北爱尔海泰制药有限公司,5.7,15mg,1
盐酸氨溴索注射液,河北爱尔海泰制药有限公司,9.4,30mg,1
盐酸氨溴索注射液,河北爱尔海泰制药有限公司,3.39,7.5mg,1
盐酸氨溴索注射液,青岛金峰制药有限公司,3.47,15mg,1
盐酸氨溴索注射液,青岛金峰制药有限公司,5.9,30mg,1
盐酸氨溴索注射液,山东方明药业集团股份有限公司,3.47,15mg,1
盐酸氨溴索注射液,山东罗欣药业集团股份有限公司,5.72,15mg,1
盐酸氨溴索注射液,山东罗欣药业集团股份有限公司,9.72,30mg,1
盐酸氨溴索注射液,天津金耀药业有限公司,5.43,15mg,1
盐酸氨溴索注射液,天津金耀药业有限公司,9.23,30mg,1
盐酸氨溴索注射液,天津药物研究院药业有限责任公司,5.15,15mg,1
盐酸氨溴索注射液,天津药物研究院药业有限责任公司,9.08,30mg,1
盐酸氨溴索注射液,云南龙海天然植物药业有限公司,4.69,15mg,1
盐酸氨溴索注射液,浙江康恩贝制药股份有限公司,9.73,30mg,1
注射用盐酸氨溴索,常州四药制药有限公司,5.7,15mg,1
注射用盐酸氨溴索,海南卫康制药（潜山）有限公司,6.52,15mg,1
注射用盐酸氨溴索,海南卫康制药（潜山）有限公司,10.83,30mg,1
注射用盐酸氨溴索,江苏奥  康药业股份有限公司,6.05,15mg,1
注射用盐酸氨溴索,山东罗欣药业集团股份有限公司,5.8,15mg,1
注射用盐酸氨溴索,山东罗欣药业集团股份有限公司,9.57,30mg,1
注射用盐酸氨溴索,沈阳新马药业有限公司,6.52,15mg,1
注射用盐酸氨溴索,沈阳新马药业有限公司,11.13,30mg,1
注射用盐酸氨溴索,苏州第壹制药有限公司,5.5,15mg,1
注射用盐酸氨溴索,苏州第壹制药有限公司,8.57,30mg,1
注射用盐酸氨溴索,扬子江药业集团有限公司,6.52,15mg,1
盐酸胺碘酮注射液,Sanofi Winthrop Industrie （  诺菲（杭州）制药有限公司分装）,26.38,0.15g,1
盐酸胺碘酮注射液,山东方明药业集团股份有限公司,23.37,0.15g,1
