"","StockCode","EndDate.x","EndDate.y","ShortName","RDPerson","RDSpendSum","RDSpendSumRatio","RDInvest"
"4411","000915","2019-12-31","2011-12-31","山大华特",237,127576818.58,7.09,0
"4413","000915","2023-12-31","2011-12-31","山大华特",235,92088768.14,3.71,0
"4415","000915","2024-12-31","2011-12-31","山大华特",248,97138886.51,4.55,7804745.92
"4424","000919","2018-12-31","1999-12-31","金陵药业",131,34122356.55,1.18,0
"4425","000919","2023-12-31","1999-12-31","金陵药业",131,79143338.26,2.84,0
"4427","000919","2024-12-31","1999-12-31","金陵药业",153,110692239.54,3.37,0
"4428","000919","2021-12-31","1999-12-31","金陵药业",112,57014669.02,2.03,0
"4430","000919","2016-12-31","1999-12-31","金陵药业",137,35978895.92,1.01,0
"4431","000919","2017-12-31","1999-12-31","金陵药业",134,29878567.9,0.94,0
"4432","000919","2019-12-31","1999-12-31","金陵药业",127,43915066.29,1.73,0
"4433","000919","2022-12-31","1999-12-31","金陵药业",123,74170064.98,2.78,0
"4436","000919","2020-12-31","1999-12-31","金陵药业",110,43709428.3,1.75,0
"4557","000931","2020-12-31","2018-12-31","中关村",230,69512975.7,3.88,10269416.82
"4559","000931","2021-12-31","2018-12-31","中关村",255,140053660.69,7.16,20077008.75
"4560","000931","2023-12-31","2018-12-31","中关村",218,106773729.12,4.69,3276449.79
"4562","000931","2018-12-31","2018-12-31","中关村",193,28018883.14,1.58,0
"4563","000931","2017-12-31","2018-12-31","中关村",166,14975894.47,0.86,0
"4564","000931","2022-12-31","2018-12-31","中关村",204,121540102.38,5.9,6673665.15
"4565","000931","2016-12-31","2018-12-31","中关村",157,11365390.68,0.77,0
"4566","000931","2019-12-31","2018-12-31","中关村",241,65510757.54,3.07,0
"4697","000952","2020-12-31","1999-12-31","广济药业",196,38771212.97,5.63,0
"4698","000952","2019-12-31","1999-12-31","广济药业",196,53774098.2,7.35,0
"4699","000952","2021-12-31","1999-12-31","广济药业",203,52061981.07,6.22,0
"4700","000952","2016-12-31","1999-12-31","广济药业",131,27721200,4,0
"4702","000952","2018-12-31","1999-12-31","广济药业",195,64684328.98,7.67,0
"4703","000952","2023-12-31","1999-12-31","广济药业",252,74751639.39,10.13,0
"4704","000952","2017-12-31","1999-12-31","广济药业",154,47499212.94,5.93,0
"4705","000952","2022-12-31","1999-12-31","广济药业",203,68975628.01,8.65,0
"4709","000953","2023-12-31","2021-12-31","河化股份",30,6095720.76,3.25,0
"4710","000953","2020-12-31","2021-12-31","河化股份",56,8487368.41,3.49,0
"4711","000953","2021-12-31","2021-12-31","河化股份",52,7703278.92,4.75,0
"4712","000953","2022-12-31","2021-12-31","河化股份",30,4279280.23,2.66,0
"4782","000963","2021-12-31","2000-12-31","华东医药",1285,962881963.61,9.52,0
"4783","000963","2017-12-31","2000-12-31","华东医药",496,461753573.48,6.95,0
"4784","000963","2019-12-31","2000-12-31","华东医药",1078,1054842676.5,10.04,0
"4785","000963","2020-12-31","2000-12-31","华东医药",1207,918180946.98,8.06,0
"4786","000963","2016-12-31","2000-12-31","华东医药",410,264094606.8,4.68,0
"4788","000963","2022-12-31","2000-12-31","华东医药",1543,1196309461.22,10.72,227794420.14
"4791","000963","2018-12-31","2000-12-31","华东医药",550,706041257.1,8.6,0
"4792","000963","2023-12-31","2000-12-31","华东医药",1777,1599987406.05,13.1,368631977.43
"4991","000989","2023-12-31","2000-12-31","九芝堂",389,145260329.71,4.91,0
"4993","000989","2016-12-31","2000-12-31","九芝堂",332,78213490.7,2.93,0
"4997","000989","2020-12-31","2000-12-31","九芝堂",314,113419202.84,3.19,0
"4999","000989","2017-12-31","2000-12-31","九芝堂",291,92938985.7,2.42,0
"5001","000989","2019-12-31","2000-12-31","九芝堂",312,101920324.43,3.2,0
"5005","000989","2024-12-31","2000-12-31","九芝堂",439,148163725.87,6.25,1963686.41
"5007","000989","2021-12-31","2000-12-31","九芝堂",325,117781782.46,3.11,0
"5009","000989","2022-12-31","2000-12-31","九芝堂",329,142370831.17,4.69,0
"5011","000989","2018-12-31","2000-12-31","九芝堂",318,85426493.3,2.74,0
"5017","000990","2022-12-31","2000-12-31","诚志股份",427,264654700.39,2.26,4441477.21
"5018","000990","2021-12-31","2000-12-31","诚志股份",400,298878544.3,2.45,5805284.18
"5019","000990","2016-12-31","2000-12-31","诚志股份",370,40036475.71,1.56,3247825.05
"5020","000990","2017-12-31","2000-12-31","诚志股份",448,178823331.12,3.14,3306724.48
"5021","000990","2023-12-31","2000-12-31","诚志股份",424,274444210.76,2.21,5462307.8
"5024","000990","2019-12-31","2000-12-31","诚志股份",421,207031880,3,4776158.86
"5028","000990","2020-12-31","2000-12-31","诚志股份",407,217078781.29,2.23,5376412.16
"5029","000990","2018-12-31","2000-12-31","诚志股份",445,226212319.28,3.85,3049453.21
"5032","000990","2024-12-31","2000-12-31","诚志股份",392,308881905.97,2.79,3980237.27
"5063","000999","2023-12-31","2000-12-31","三九医药",778,888951186.66,3.59,174448954.66
