"Firm_ID","Firm","Year"
604,"瀚晖制药有限公司",2018
288,"安徽环球药业股份有限公司",2018
604,"瀚晖制药有限公司",2019
66,"上海上药中西制药有限公司",2018
375,"成都康弘药业集团股份有限公司",2018
375,"成都康弘药业集团股份有限公司",2019
66,"上海上药中西制药有限公司",2020
375,"成都康弘药业集团股份有限公司",2020
672,"迪沙药业集团有限公司",2021
375,"成都康弘药业集团股份有限公司",2021
66,"上海上药中西制药有限公司",2021
375,"成都康弘药业集团股份有限公司",2022
66,"上海上药中西制药有限公司",2022
672,"迪沙药业集团有限公司",2022
375,"成都康弘药业集团股份有限公司",2023
331,"常州四药制药有限公司",2024
672,"迪沙药业集团有限公司",2024
NA,"Kagamiishi Plant,Nipro Pharma Corporation",2016
4,"AstraZenecaAB（KagamiishiPlant,NiproPharmaCorporation）（阿斯利康制药有限公司分包装）",2018
NA,"Kagamiishi Plant,Nipro Pharma Corporation",2018
NA,"齐鲁制药(海南)有限公司",2018
4,"AstraZenecaAB（KagamiishiPlant,NiproPharmaCorporation）（阿斯利康制药有限公司分包装）",2019
711,"齐鲁制药（海南）有限公司",2019
NA,"齐鲁制药(海南)有限公司",2019
NA,"Kagamiishi Plant,Nipro Pharma Corporation",2019
412,"正大天晴药业集团南京顺欣制药有限公司",2019
NA,"Kagamiishi Plant,Nipro Pharma Corporation",2020
NA,"齐鲁制药(海南)有限公司",2021
NA,"Kagamiishi Plant,Nipro Pharma Corporation",2021
442,"江苏恒瑞医药股份有限公司",2021
78,"上海创诺制药有限公司",2021
NA,"苏州特瑞药业股份有限公司",2021
NA,"赤峰蒙欣药业有限公司",2016
246,"国药集团工业有限公司",2016
NA,"济南恒基制药有限公司",2016
NA,"Les Laboratoires Servier Industrie",2016
430,"江苏亚邦强生药业有限公司",2016
NA,"南昌市飞弘药业有限公司",2016
305,"山东方明药业集团股份有限公司",2016
NA,"济南高华制药有限公司",2016
NA,"广东安诺药业股份有限公司",2016
257,"天津力生制药股份有限公司",2016
608,"烟台巨先药业有限公司",2016
NA,"远大医药(中国)有限公司",2016
NA,"河南中杰药业有限公司",2018
608,"烟台巨先药业有限公司",2020
246,"国药集团工业有限公司",2020
603,"濮阳市汇元药业有限公司",2020
686,"重庆药友制药有限责任公司",2020
261,"天津天士力（辽宁）制药有限责任公司",2020
NA,"天津天士力(辽宁)制药有限责任公司",2020
246,"国药集团工业有限公司",2022
603,"濮阳市汇元药业有限公司",2023
246,"国药集团工业有限公司",2023
305,"山东方明药业集团股份有限公司",2023
NA,"天津天士力(辽宁)制药有限责任公司",2023
674,"遂成药业股份有限公司",2023
NA,"济南高华制药有限公司",2023
608,"烟台巨先药业有限公司",2023
NA,"远大医药(中国)有限公司",2023
NA,"湖南春光九汇现代中药有限公司",2023
514,"浙江普洛康裕制药有限公司",2023
257,"天津力生制药股份有限公司",2023
NA,"成都明日制药有限公司",2016
566,"深圳信立泰药业股份有限公司",2016
500,"浙江华润三九众益制药有限公司",2016
NA,"Organon Heist bv",2016
566,"深圳信立泰药业股份有限公司",2017
500,"浙江华润三九众益制药有限公司",2017
NA,"广东九明制药有限公司",2018
500,"浙江华润三九众益制药有限公司",2018
566,"深圳信立泰药业股份有限公司",2018
566,"深圳信立泰药业股份有限公司",2019
544,"海南普利制药股份有限公司",2020
