"","StockCode","EndDate.x","StateTypeCode","Area","ApplyTypeCode","ApplyType","Patents","Invention","UtilityModel","ShortName","IndustryCode","IndustryName","EndDate.y"
"6486","002107","2020-12-31","1","1","S5204","截至报告期末累计获得",NA,"36",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6489","002107","2019-12-31","1","1","S5201","已申请",NA,"5",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6496","002107","2018-12-31","1","1","S5203","已授权",NA,"3",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6498","002107","2016-12-31","1","1","S5205","截止报告期末累计已被受理",NA,"9",NA,"沃华医药","C27","医药制造业","2007-12-31"
"6655","002118","2017-12-31","1","1","S5202","已获得",NA,"1",NA,"紫鑫药业","C27","医药制造业","2007-12-31"
"6656","002118","2018-12-31","1","1","S5202","已获得",NA,"4",NA,"紫鑫药业","C27","医药制造业","2007-12-31"
"6658","002118","2020-12-31","1","1","S5202","已获得",NA,NA,NA,"紫鑫药业","C27","医药制造业","2007-12-31"
"6659","002118","2016-12-31","1","1","S5204","截至报告期末累计获得","69","38","31","紫鑫药业","C27","医药制造业","2007-12-31"
"6663","002118","2019-12-31","1","1","S5203","已授权","2","1","1","紫鑫药业","C27","医药制造业","2007-12-31"
"7507","002166","2021-12-31","1","1","S5204","截至报告期末累计获得",NA,"68",NA,"莱茵生物","C27","医药制造业","2007-12-31"
"7508","002166","2017-12-31","1","1","S5205","截止报告期末累计已被受理",NA,"19",NA,"莱茵生物","C27","医药制造业","2007-12-31"
"7511","002166","2018-12-31","1","1","S5206","截止报告期末累计已授权","51","51","0","莱茵生物","C27","医药制造业","2007-12-31"
"7512","002166","2023-12-31","1","1","S5204","截至报告期末累计获得","146",NA,NA,"莱茵生物","C27","医药制造业","2007-12-31"
"7513","002166","2020-12-31","1","1","S5204","截至报告期末累计获得",NA,"58",NA,"莱茵生物","C27","医药制造业","2007-12-31"
